date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tlt_adj_close,tlt_volume
2018-02-13,8598.3095703125,5696719872.0,845.2579956054688,2081170048.0,2662.93994140625,3503540000,119.90496826171875,2973000,84.47042083740234,4256200,94.50450134277344,8157600
2018-02-14,9494.6298828125,7909819904.0,923.5609741210938,2818370048.0,2698.6298828125,4011940000,121.5833969116211,3076800,84.18572235107422,4317000,93.45606231689453,12043300
2018-02-15,10166.400390625,9062540288.0,936.9760131835938,2900100096.0,2731.199951171875,3696140000,123.06846618652344,2853000,84.28854370117188,2878900,93.77379608154297,8222400
2018-02-16,10233.900390625,7296159744.0,944.2100219726562,2369449984.0,2732.219970703125,3646920000,123.12120819091797,2813100,84.45464324951172,3648900,94.2820816040039,8454100
2018-02-20,11403.7001953125,9926540288.0,895.3709716796875,2545260032.0,2716.260009765625,3646920000,122.38304138183594,2490000,84.36761474609375,2907400,93.869140625,8268800
2018-02-21,10690.400390625,9405339648.0,849.9710083007812,2531729920.0,2701.330078125,3789040000,121.81182861328125,2182200,84.0987319946289,3223800,92.71748352050781,12054300
2018-02-22,10005.0,8040079872.0,812.844970703125,2150370048.0,2703.9599609375,3720620000,121.89093017578125,2111700,84.10668182373047,2485400,92.99542999267578,9317900
2018-02-23,10301.099609375,7739500032.0,864.1890258789062,2334820096.0,2747.300048828125,3200360000,123.78026580810547,1439500,84.3202133178711,2398100,93.82142639160156,9072900
2018-02-26,10366.7001953125,7287690240.0,869.3150024414062,2044480000.0,2779.60009765625,3436590000,125.08076477050781,1765700,84.38345336914062,4617300,93.85318756103516,8771600
2018-02-27,10725.599609375,6966179840.0,878.2650146484375,2053980032.0,2744.280029296875,3752070000,123.50785827636719,2305100,84.2015380859375,5704700,93.71822357177734,12525700
2018-02-28,10397.900390625,6936189952.0,855.198974609375,1963980032.0,2713.830078125,4244570000,122.14582061767578,2290500,84.43089294433594,9614100,94.31385040283203,9311600
2018-03-01,10951.0,7317279744.0,872.2000122070312,1868519936.0,2677.669921875,4514490000,120.69583892822266,4846700,84.50617980957031,7335500,94.95764923095703,12287700
2018-03-02,11086.400390625,7620590080.0,856.85302734375,1894419968.0,2691.25,3891250000,121.4779281616211,3021300,84.37144470214844,3717300,94.18569946289062,10064300
2018-03-05,11573.2998046875,6468539904.0,853.6840209960938,1898489984.0,2720.93994140625,3733640000,122.84879302978516,2916600,84.32390594482422,3307200,93.93106842041016,5658200
2018-03-06,10779.900390625,6832169984.0,816.9509887695312,1943069952.0,2728.1201171875,3389030000,123.29695892333984,2788000,84.33975219726562,1932100,94.01860809326172,5452000
2018-03-07,9965.5703125,8797910016.0,752.8309936523438,2175419904.0,2726.800048828125,3406690000,123.40237426757812,2569100,84.32390594482422,3448700,93.9151382446289,4461800
2018-03-08,9395.009765625,7186089984.0,704.5960083007812,1891640064.0,2738.969970703125,3206040000,123.86813354492188,2307500,84.4586410522461,2396200,94.4562759399414,7086700
2018-03-09,9337.5498046875,8704190464.0,728.916015625,2233019904.0,2786.570068359375,3376870000,125.92440032958984,2325100,84.30011749267578,3669400,93.83554077148438,6570400
2018-03-12,9205.1201171875,6457399808.0,699.8309936523438,1764999936.0,2783.02001953125,3216960000,125.85408020019531,1999200,84.34769439697266,4149500,94.37671661376953,5801300
2018-03-13,9194.849609375,5991139840.0,690.8270263671875,1425959936.0,2765.31005859375,3324290000,125.07199096679688,2080500,84.4586410522461,2727500,94.8542709350586,7455300
2018-03-14,8269.8095703125,6438230016.0,614.291015625,1810560000.0,2749.47998046875,3394630000,124.43932342529297,2103100,84.60126495361328,3126400,95.68986511230469,10175000
2018-03-15,8300.8603515625,6834429952.0,611.3040161132812,1770460032.0,2747.330078125,3543710000,124.27237701416016,1927900,84.60919189453125,3045500,95.68986511230469,6757900
2018-03-16,8338.349609375,5289379840.0,601.666015625,1417350016.0,2752.010009765625,5429140000,124.48331451416016,2641400,84.5616455078125,2552700,95.34762573242188,6084300
2018-03-19,8630.650390625,6729110016.0,556.7260131835938,2046790016.0,2712.919921875,3327460000,122.88391876220703,3154300,84.4744644165039,2263200,95.04521179199219,8491200
2018-03-20,8913.4697265625,6361789952.0,557.1749877929688,1833680000.0,2716.93994140625,3272590000,123.06846618652344,1672000,84.33975219726562,3000700,94.66322326660156,5446000
2018-03-21,8929.2802734375,6043129856.0,561.7319946289062,1781270016.0,2711.929931640625,3434780000,122.96299743652344,2106700,84.33184051513672,2994400,94.7667007446289,9742400
2018-03-22,8728.4697265625,5530390016.0,539.7020263671875,1523459968.0,2643.68994140625,3765460000,119.95077514648438,3130600,84.49032592773438,3334400,95.70579528808594,12136600
2018-03-23,8879.6201171875,5954120192.0,539.6190185546875,1596349952.0,2588.260009765625,3829380000,117.4361801147461,5697000,84.49032592773438,3618700,95.63412475585938,7250400
2018-03-26,8209.400390625,5921039872.0,489.95098876953125,1638880000.0,2658.550048828125,3538080000,120.5331039428711,3859500,84.4586410522461,4546500,95.26803588867188,8237900
2018-03-27,7833.0400390625,5378250240.0,450.1159973144531,1617939968.0,2612.6201171875,3761320000,118.39791107177734,3309900,84.7043228149414,4537700,96.28668212890625,9168500
2018-03-28,7954.47998046875,4935289856.0,446.27899169921875,1514179968.0,2605.0,3875720000,118.1243896484375,4740000,84.75184631347656,5617200,96.54134368896484,7412500
2018-03-29,7165.7001953125,6361229824.0,385.9679870605469,1970230016.0,2640.8701171875,3572360000,119.74786376953125,2346400,84.99754333496094,8300000,97.01091766357422,9694300
2018-04-02,7083.7998046875,4333440000.0,386.42498779296875,1102259968.0,2581.8798828125,3635780000,117.0215072631836,5703700,84.91255187988281,7280300,97.20231628417969,12036500
2018-04-03,7456.10986328125,5499700224.0,416.89300537109375,1363399936.0,2614.449951171875,3395840000,118.4773178100586,3737200,84.81724548339844,9916100,96.45259857177734,9855000
2018-04-04,6853.83984375,4936000000.0,380.5429992675781,1287730048.0,2644.68994140625,3369230000,119.80961608886719,2928000,84.84900665283203,6200900,96.25326538085938,6654300
2018-04-05,6811.47021484375,5639320064.0,383.23199462890625,1210680064.0,2662.840087890625,3230430000,120.64781951904297,2683600,84.72982025146484,2592500,95.53549194335938,7603700
2018-04-06,6636.31982421875,3766810112.0,370.2850036621094,967105984.0,2604.469970703125,3312390000,118.11559295654297,4942600,84.92049407958984,2814800,96.58021545410156,8831200
2018-04-09,6770.72998046875,4894060032.0,398.5260009765625,1478390016.0,2613.159912109375,3076140000,118.51263427734375,2239400,84.99200439453125,3746500,96.73974609375,6307500
2018-04-10,6834.759765625,4272750080.0,414.2430114746094,1196000000.0,2656.8701171875,3579130000,120.43609619140625,2153900,84.928466796875,2941900,96.56430053710938,6046000
2018-04-11,6968.31982421875,4641889792.0,430.5400085449219,1439040000.0,2642.18994140625,3054520000,119.88021087646484,2063800,84.99993133544922,8598800,96.9072265625,5901300
2018-04-12,7889.25,8906250240.0,492.9410095214844,2519360000.0,2663.989990234375,3045330000,120.85073852539062,1858700,84.80924224853516,3899000,96.19743347167969,6622800
2018-04-13,7895.9599609375,7764460032.0,492.7349853515625,2419249920.0,2656.300048828125,2988540000,120.50663757324219,2192600,84.8331298828125,2764800,96.42073059082031,4964000
2018-04-16,8058.669921875,5631309824.0,511.1470031738281,1758979968.0,2677.840087890625,3020740000,121.51250457763672,2892600,84.84900665283203,3860800,96.45259857177734,4491300
2018-04-17,7902.08984375,6900879872.0,502.8940124511719,1760359936.0,2706.389892578125,3286190000,122.79181671142578,2219900,84.8728256225586,2363000,96.7158203125,5590400
2018-04-18,8163.419921875,6529909760.0,524.7890014648438,1762940032.0,2708.639892578125,3412030000,122.95950317382812,1554400,84.6345443725586,2231700,95.94219207763672,8138400
2018-04-19,8294.3095703125,7063209984.0,567.8889770507812,2256869888.0,2693.1298828125,3375120000,122.28890991210938,4003900,84.42802429199219,10985100,95.1606216430664,9875800
2018-04-20,8845.830078125,8438110208.0,615.718017578125,2849469952.0,2670.139892578125,3428260000,121.3183822631836,1669600,84.19767761230469,2766000,94.47474670410156,7579400
2018-04-23,8930.8798828125,6925190144.0,642.5479736328125,2386830080.0,2670.2900390625,3030390000,121.27426147460938,2033700,84.157958984375,2620800,94.49868774414062,7073200
2018-04-24,9697.5,10678800384.0,708.1580200195312,3581860096.0,2634.56005859375,3716020000,119.8184585571289,3053500,84.04676818847656,3442300,94.06800079345703,8190800
2018-04-25,8845.740234375,11083100160.0,615.416015625,4216140032.0,2639.39990234375,3563680000,119.95077514648438,2275400,83.9355239868164,3785000,93.43801879882812,6603800
2018-04-26,9281.509765625,8970559488.0,662.8090209960938,2984009984.0,2666.93994140625,3690920000,121.08898162841797,1284600,84.0785140991211,4870300,94.09195709228516,6528600
2018-04-27,8987.0498046875,7566289920.0,647.031982421875,2598129920.0,2669.909912109375,3234510000,121.16837310791016,1133600,84.1817855834961,3806400,94.81770324707031,5401800
2018-04-30,9240.5498046875,8673920000.0,669.9240112304688,2853100032.0,2648.050048828125,3749510000,120.28605651855469,2277100,84.19767761230469,4692600,94.98521423339844,8321100
2018-05-01,9119.009765625,7713019904.0,673.6129760742188,2678960128.0,2654.800048828125,3562820000,120.47134399414062,1762700,84.1259994506836,3027000,94.64310455322266,7979200
2018-05-02,9235.919921875,7558159872.0,687.1489868164062,2822269952.0,2635.669921875,4047020000,119.77432250976562,1661600,84.1259994506836,2560800,94.5391845703125,4644000
2018-05-03,9743.8603515625,10207299584.0,779.5430297851562,4210939904.0,2629.72998046875,3867530000,119.44792175292969,2638000,84.2215805053711,4499200,94.96280670166016,6345300
2018-05-04,9700.759765625,8217829888.0,785.6240234375,3533410048.0,2663.419921875,3335260000,120.99192810058594,2379400,84.27729797363281,2317100,95.10672760009766,4283500
2018-05-07,9373.009765625,7394019840.0,753.7249755859375,4316120064.0,2672.6298828125,3266810000,121.52131652832031,1448000,84.23749542236328,1533400,94.95482635498047,3647800
2018-05-08,9234.8203125,7415869952.0,752.8569946289062,2920489984.0,2671.919921875,3745100000,121.5654067993164,1357400,84.14196014404297,2591700,94.86688232421875,6091200
2018-05-09,9325.1796875,7226890240.0,752.2750244140625,2877870080.0,2697.7900390625,3913650000,122.71244812011719,1451700,84.04641723632812,2507500,94.2994384765625,7832500
2018-05-10,9043.9404296875,6906699776.0,727.2769775390625,2748950016.0,2723.070068359375,3380640000,123.78003692626953,1810100,84.23749542236328,2096700,95.05870819091797,7101500
2018-05-11,8441.490234375,8488520192.0,679.5859985351562,3290080000.0,2727.719970703125,2874850000,124.02711486816406,1199100,84.27729797363281,2034100,95.29850006103516,4273400
2018-05-14,8716.7900390625,7364149760.0,730.5490112304688,3005110016.0,2730.1298828125,2994360000,124.0888442993164,1396900,84.19768524169922,2183500,94.79496765136719,4996200
2018-05-15,8510.3798828125,6705710080.0,708.8709716796875,2523069952.0,2711.449951171875,3291190000,123.33888244628906,2279700,83.82345581054688,2166400,93.71590423583984,12901000
2018-05-16,8368.830078125,6760220160.0,707.0499877929688,2476130048.0,2722.4599609375,3248480000,123.93885803222656,1345900,83.72795104980469,2477500,93.35626220703125,6518000
2018-05-17,8094.31982421875,5862530048.0,672.656982421875,2350619904.0,2720.1298828125,3478150000,123.97416687011719,1658500,83.61650085449219,2789000,92.8846664428711,7330300
2018-05-18,8250.9697265625,5764190208.0,694.3670043945312,2305740032.0,2712.969970703125,3383270000,123.70062255859375,910200,83.83146667480469,2151100,93.68397521972656,9606500
2018-05-21,8418.990234375,5154990080.0,699.2219848632812,2005170048.0,2733.010009765625,3053480000,124.62708282470703,1299600,83.83940887451172,1952200,93.73193359375,4448500
2018-05-22,8041.77978515625,5137010176.0,647.7410278320312,2230469888.0,2724.43994140625,3384140000,124.1682357788086,1213000,83.83940887451172,2246400,93.58805084228516,4700700
2018-05-23,7557.81982421875,6491120128.0,583.5850219726562,2995429888.0,2733.2900390625,3333160000,124.49470520019531,1431800,84.07030487060547,6061900,94.26742553710938,9634000
2018-05-24,7587.33984375,6049220096.0,601.7550048828125,2791099904.0,2727.760009765625,3285750000,124.29178619384766,1405100,84.3011703491211,2903300,95.01873779296875,8204100
2018-05-25,7480.14013671875,4867829760.0,586.7340087890625,2110919936.0,2721.330078125,3015260000,124.05355834960938,1264500,84.4842529296875,2508100,95.6102066040039,8482800
2018-05-29,7472.58984375,5662660096.0,565.3880004882812,2330820096.0,2689.860107421875,3743310000,122.82713317871094,2695000,85.04156494140625,3494200,97.70433044433594,21668100
